date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2019-09-29,8,4,0,33,3,Germany
2019-09-29,7,5,2,7,2,Norway
2019-09-30,8,2,0,38,2,Germany
2019-09-30,13,0,1,18,0,Norway
2019-09-30,15,1,0,7,1,Canada
2019-09-30,8,0,0,4,0,United States
2019-09-30,10,1,0,13,2,United Kingdom
2019-10-01,14,1,0,5,0,Canada
2019-10-01,11,1,0,12,2,United Kingdom
2019-10-01,6,4,0,11,3,Norway
2019-10-01,7,3,0,36,2,Germany
2019-10-01,8,0,0,4,1,United States
2019-10-02,11,1,0,12,2,United Kingdom
2019-10-02,15,1,0,5,1,Canada
2019-10-02,10,2,0,30,3,Germany
2019-10-02,8,1,0,4,1,United States
2019-10-02,26,3,1,15,3,Norway
2019-10-03,14,7,0,10,7,Norway
2019-10-03,8,0,0,3,0,United States
2019-10-03,15,1,0,4,1,Canada
2019-10-03,13,2,0,11,2,United Kingdom
2019-10-03,11,6,1,39,2,Germany
2019-10-04,13,1,0,5,1,Canada
2019-10-04,12,2,0,10,2,United Kingdom
2019-10-04,29,3,5,14,6,Norway
2019-10-04,10,4,0,27,3,Germany
2019-10-04,7,0,0,3,0,United States
2019-10-05,10,5,0,28,2,Germany
2019-10-05,6,0,0,3,0,United States
2019-10-05,14,1,0,4,0,Canada
2019-10-05,20,5,0,10,0,Norway
2019-10-05,12,1,0,8,2,United Kingdom
2019-10-06,7,0,0,3,0,United States
2019-10-06,5,0,2,22,0,Norway
2019-10-06,8,4,0,26,1,Germany
2019-10-06,11,1,0,4,0,Canada
2019-10-06,12,1,0,9,2,United Kingdom
2019-10-07,20,8,0,17,3,Norway
2019-10-07,11,8,0,32,2,Germany
2019-10-07,16,1,0,5,1,Canada
2019-10-07,7,1,0,3,1,United States
2019-10-07,13,2,0,11,2,United Kingdom
2019-10-08,14,4,0,6,3,Norway
2019-10-08,7,1,0,3,1,United States
2019-10-08,13,1,0,5,1,Canada
2019-10-08,12,6,0,28,3,Germany
2019-10-08,14,1,0,10,2,United Kingdom
2019-10-09,7,0,0,4,1,United States
2019-10-09,25,4,0,13,3,Norway
2019-10-09,12,5,0,31,3,Germany
2019-10-09,12,1,0,5,1,Canada
2019-10-09,12,1,0,11,3,United Kingdom
2019-10-10,7,0,0,3,1,United States
2019-10-10,26,4,0,26,4,Norway
2019-10-10,13,1,0,10,3,United Kingdom
2019-10-10,10,3,0,32,3,Germany
2019-10-10,14,1,0,4,1,Canada
2019-10-11,14,0,0,5,1,Canada
2019-10-11,7,0,0,3,1,United States
2019-10-11,9,3,0,31,3,Germany
2019-10-11,11,1,0,10,4,United Kingdom
2019-10-11,20,7,3,17,4,Norway
2019-10-12,7,0,0,3,1,United States
2019-10-12,18,3,0,17,9,Norway
2019-10-12,13,1,0,4,1,Canada
2019-10-12,11,1,0,8,3,United Kingdom
2019-10-12,11,3,0,29,4,Germany
2019-10-13,5,0,0,3,1,United States
2019-10-13,6,3,0,15,5,Norway
2019-10-13,9,1,0,9,3,United Kingdom
2019-10-13,11,1,0,5,1,Canada
2019-10-13,9,4,1,29,4,Germany
2019-10-14,8,5,0,29,6,Germany
2019-10-14,6,0,0,3,1,United States
2019-10-14,9,3,1,16,1,Norway
2019-10-14,12,1,0,4,1,Canada
2019-10-14,11,1,0,9,2,United Kingdom
2019-10-15,20,8,3,17,4,Norway
2019-10-15,12,1,0,5,1,Canada
2019-10-15,9,2,0,10,2,United Kingdom
2019-10-15,7,6,0,31,4,Germany
2019-10-15,6,0,0,3,1,United States
2019-10-16,7,1,0,3,1,United States
2019-10-16,13,1,0,5,1,Canada
2019-10-16,16,12,0,16,6,Norway
2019-10-16,11,2,0,11,2,United Kingdom
2019-10-16,8,7,0,35,5,Germany
2019-10-17,12,4,0,34,6,Germany
2019-10-17,30,11,1,16,15,Norway
2019-10-17,8,1,0,3,1,United States
2019-10-17,15,1,0,5,1,Canada
2019-10-17,12,1,0,11,2,United Kingdom
2019-10-18,10,4,0,32,4,Germany
2019-10-18,14,3,1,9,7,Norway
2019-10-18,11,1,0,11,2,United Kingdom
2019-10-18,7,1,0,3,1,United States
2019-10-18,14,1,0,4,1,Canada
2019-10-19,8,4,0,26,3,Germany
2019-10-19,8,1,0,8,2,United Kingdom
2019-10-19,5,1,0,3,1,United States
2019-10-19,16,6,2,7,8,Norway
2019-10-19,11,1,0,4,1,Canada
2019-10-20,11,1,0,5,1,Canada
2019-10-20,10,1,0,9,2,United Kingdom
2019-10-20,5,0,0,3,1,United States
2019-10-20,8,3,0,24,3,Germany
2019-10-20,19,6,3,14,3,Norway
2019-10-21,16,1,7,17,4,Norway
2019-10-21,11,1,0,4,1,Canada
2019-10-21,7,6,0,33,4,Germany
2019-10-21,6,0,0,3,1,United States
2019-10-21,9,1,0,10,2,United Kingdom
2019-10-22,8,10,0,31,4,Germany
2019-10-22,6,1,0,3,1,United States
2019-10-22,11,1,0,3,1,Canada
2019-10-22,11,1,0,9,4,United Kingdom
2019-10-22,14,5,0,13,9,Norway
2019-10-23,6,1,0,4,1,United States
2019-10-23,11,8,1,24,3,Norway
2019-10-23,7,7,0,41,5,Germany
2019-10-23,13,1,0,7,1,Canada
2019-10-23,12,2,0,13,2,United Kingdom
2019-10-24,13,8,1,11,0,Norway
2019-10-24,11,1,0,5,1,Canada
2019-10-24,8,6,0,38,5,Germany
2019-10-24,6,0,0,4,1,United States
2019-10-24,11,1,0,13,2,United Kingdom
2019-10-25,5,0,0,4,1,United States
2019-10-25,6,4,1,39,4,Germany
2019-10-25,15,7,1,23,1,Norway
2019-10-25,10,1,0,6,0,Canada
2019-10-25,9,2,0,13,2,United Kingdom
2019-10-26,5,0,0,6,1,United States
2019-10-26,19,0,2,23,5,Norway
2019-10-26,8,3,0,54,4,Germany
2019-10-26,12,1,0,9,0,Canada
2019-10-26,10,1,0,15,2,United Kingdom
2019-10-27,13,1,0,11,13,United Kingdom
2019-10-27,7,0,0,4,12,United States
2019-10-27,15,0,0,6,12,Canada
2019-10-27,30,6,0,12,21,Norway
2019-10-27,9,4,0,41,9,Germany
2019-10-28,14,1,0,6,8,Canada
2019-10-28,8,3,0,45,9,Germany
2019-10-28,8,0,0,4,9,United States
2019-10-28,18,1,0,16,14,Norway
2019-10-28,15,1,0,13,9,United Kingdom
2019-10-29,12,0,0,7,6,Canada
2019-10-29,7,0,0,4,6,United States
2019-10-29,8,4,0,42,6,Germany
